
timestamp,src_service,dst_service,request_type,response_time_ms,bytes_sent,bytes_received,status_code,user_id,is_attack,attack_type
2026-05-14T00:00:01Z,frontend,product-catalog,GET,45,320,2800,200,user_7832,0,
2026-05-14T00:00:02Z,frontend,shopping-cart,POST,67,1500,450,201,user_7832,0,
2026-05-14T00:00:03Z,product-catalog,redis,GET,12,80,1200,200,internal,0,
2026-05-14T00:00:04Z,shopping-cart,redis,GET,14,90,1300,200,internal,0,
2026-05-14T00:00:05Z,shopping-cart,payment,POST,234,2100,380,200,user_7832,0,
2026-05-14T00:00:06Z,payment,ledger,POST,89,450,210,200,internal,0,
2026-05-14T00:00:07Z,frontend,product-catalog,GET,43,310,2750,200,user_1194,0,
2026-05-14T00:00:08Z,frontend,authentication,POST,56,520,340,200,user_1194,0,
2026-05-14T00:00:09Z,authentication,postgres,SELECT,23,180,5400,200,internal,0,
2026-05-14T00:00:10Z,product-catalog,redis,GET,11,75,1180,200,internal,0,
2026-05-14T00:00:11Z,frontend,shopping-cart,GET,34,210,890,200,user_5521,0,
2026-05-14T00:00:12Z,shopping-cart,inventory,GET,78,150,2300,200,internal,0,
2026-05-14T00:00:13Z,payment,fraud-detection,POST,156,890,340,200,internal,0,
2026-05-14T00:00:14Z,frontend,product-catalog,GET,41,305,2720,200,user_9203,0,
2026-05-14T00:00:15Z,authentication,postgres,SELECT,21,170,5300,200,internal,0,
2026-05-14T00:00:16Z,frontend,payment,POST,278,2300,420,200,user_5521,0,
2026-05-14T00:00:17Z,payment,ledger,POST,92,470,225,200,internal,0,
2026-05-14T00:00:18Z,frontend,shopping-cart,POST,71,1580,480,201,user_9203,0,
2026-05-14T00:00:19Z,shopping-cart,payment,POST,245,2150,395,200,user_9203,0,
2026-05-14T00:00:20Z,payment,postgres,UPDATE,67,340,120,200,internal,0,
